Recorde
9
7
3
6
10
9
10
8
1
6
2
9
2
4
10
8
10
10
10
10
10
10
10
8
10
10
9
10
10
8
10
9
3
4
1
10
10
10
2
9
9
7
10
2
1
10
10
9
9
10
9
9
4
10
9
10
10
10
9
10
8
9
9
8
6
10
9
5
10
10
10
8
10
10
8
10
9
7
10
9
8
10
10
10
10
8
10
10
10
10
10
8
1
9
10
10
9
8
10
10
10
6
